code,SMAPE,MASE,result
A000100,0.115390503,27.45182,N
A000120,0.034599104,8.48476,N
A000270,0.412472056,71.11666,N
A000660,0.112064875,25.60732,LGBM
A000720,0.079039722,21.23613,LGBM
A000810,0.222457194,50.17013,N
A002790,0.119528134,32.07974,N
A003410,0.054140308,15.31465,LGBM
A003490,0.206433397,39.09919,LGBM
A003550,0.045530405,13.83707,LGBM
A003670,0.219378296,46.57661,N
A004020,0.505966662,74.31315,N
A004990,0.319081675,82.73343,N
A005380,0.048122491,11.01864,N
A005387,0.053623189,18.1758,LGBM
A005490,0.09837571,23.55839,LGBM
A005830,0.020721961,6.64688,LGBM
A005930,0.060680962,21.17222,N
A005935,0.058406675,21.97824,N
A005940,0.147273415,37.12535,N
A006280,0.151171917,17.93693,N
A006360,0.159570762,36.27866,LGBM
A006400,0.072118379,16.58586,N
A006800,0.118717608,30.36722,N
A007070,0.058228359,19.89349,N
A008560,0.0351398,11.62161,N
A008770,0.045335977,13.40204,LGBM
A008930,0.172145953,27.6795,N
A009150,0.045217585,12.1561,N
A009540,0.103227804,22.27019,N
A009830,0.108842337,15.61432,N
A010130,0.073994794,28.99462,N
A010140,0.120661913,27.09658,N
A010950,0.084308407,20.64545,N
A011070,0.046165166,10.89734,LGBM
A011170,0.111508449,19.97726,LGBM
A011200,0.520928514,56.76157,N
A011780,0.374380241,40.97091,N
A011790,0.196473411,35.14946,N
A012330,0.060783643,14.17615,LGBM
A012510,0.083039588,18.74519,N
A012750,0.050889484,22.30841,N
A015760,0.04388607,12.87316,LGBM
A016360,0.107147084,28.71739,LGBM
A017670,0.040967096,14.93263,N
A018260,0.077298539,22.34366,N
A018880,0.115747983,19.54616,N
A019170,1.786867341,88.63256,LGBM
A021240,0.105984081,32.18443,LGBM
A023530,0.351923534,94.35666,LGBM
A024110,0.110361082,45.3098,N
A026960,0.044902296,11.03555,LGBM
A028260,0.065229213,16.01661,N
A028670,0.154525644,26.96909,N
A029780,0.105207219,37.28934,LGBM
A030200,0.082239374,48.5704,N
A032640,0.082478779,24.96043,N
A032830,0.240510615,55.20119,N
A033780,0.082175604,41.41649,N
A034020,0.406781114,45.83586,N
A034220,0.071375686,16.36949,N
A034730,0.249252796,71.55586,N
A035250,0.059629863,16.42259,N
A035420,0.188799645,49.02273,N
A035720,0.082004148,23.89995,N
A036460,0.089796202,18.43481,LGBM
A036570,0.049335615,14.32173,N
A039490,0.120544083,22.17796,N
A047810,0.030746535,9.85836,N
A051900,0.079236334,24.82666,N
A051910,0.125822086,25.34755,N
A055550,0.129396198,38.11504,N
A066570,0.086086726,25.36616,N
A068270,0.15565989,28.44517,N
A071050,0.050609844,11.59983,LGBM
A078930,0.10260853,27.94029,N
A086280,0.18186506,25.87117,LGBM
A086790,0.109953141,28.21381,LGBM
A090430,0.051097898,12.66193,N
A096770,0.122982503,21.95399,LGBM
A097950,0.096059224,31.45043,LGBM
A105560,0.072467335,20.04768,LGBM
A128940,0.086687016,17.04335,N
A139480,0.071289835,17.40506,N
A161390,0.095771034,17.37015,N
A180640,0.243277567,34.58259,N
A204320,0.186162515,28.07907,LGBM
